         91927 function calls (91832 primitive calls) in 6.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 crypto.py:1063(_from_raw_x509_ptr)
        2    0.000    0.000    0.000    0.000 response.py:412(_error_catcher)
        2    0.000    0.000    0.001    0.001 _htmlparser.py:163(handle_charref)
        1    0.000    0.000    0.000    0.000 {method 'addressof' of 'CompiledFFI' objects}
        1    0.000    0.000    0.001    0.001 client.py:1231(_send_request)
       76    0.000    0.000    0.000    0.000 core.py:60(valid_string_length)
        2    0.000    0.000    0.000    0.000 cookiejar.py:220(http2time)
       19    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       41    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 models.py:597(__init__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1377(_normalized_cookie_tuples)
        1    0.000    0.000    0.000    0.000 SSL.py:1735(send)
       16    0.000    0.000    0.000    0.000 _collections.py:214(add)
       25    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       23    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       11    0.000    0.000    0.000    0.000 element.py:1895(search_tag)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:514(_decode_extended_key_usage)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       96    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {method 'gc' of 'CompiledFFI' objects}
        1    0.000    0.000    0.078    0.078 ssl_.py:296(ssl_wrap_socket)
        5    0.000    0.000    0.000    0.000 parse.py:843(quote_from_bytes)
        2    0.000    0.000    0.000    0.000 extensions.py:1213(get_values_for_type)
        1    0.000    0.000    0.000    0.000 ssl.py:240(_inet_paton)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       33    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        5    0.000    0.000    0.000    0.000 structures.py:59(__iter__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1566(_cookies_from_attrs_set)
        1    0.000    0.000    0.062    0.062 pyopenssl.py:465(wrap_socket)
        1    0.000    0.000    0.000    0.000 crypto.py:1071(to_cryptography)
        1    0.000    0.000    0.003    0.003 netrc.py:1(<module>)
       30    0.000    0.000    0.000    0.000 _oid.py:58(__hash__)
        1    0.000    0.000    0.001    0.001 parser.py:60(parsestr)
       77    0.000    0.000    0.000    0.000 extensions.py:1204(<genexpr>)
        3    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        2    0.000    0.000    0.000    0.000 adapters.py:113(__init__)
        1    0.000    0.000    0.000    0.000 client.py:948(send)
        6    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        2    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 response.py:401(_flush_decoder)
       10    0.000    0.000    0.000    0.000 extensions.py:1163(__init__)
        6    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
        7    0.000    0.000    0.000    0.000 element.py:2069(__init__)
        2    0.000    0.000    0.002    0.001 cookies.py:118(extract_cookies_to_jar)
        3    0.000    0.000    0.000    0.000 cookies.py:508(cookiejar_from_dict)
        4    0.000    0.000    0.000    0.000 cookiejar.py:606(request_host)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1249(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:772(select_proxy)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:329(_decode_basic_constraints)
       36    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       16    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 cp1252.py:3(<module>)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        2    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
       22    0.000    0.000    0.000    0.000 threading.py:255(_is_owned)
        3    0.000    0.000    0.000    0.000 cookies.py:37(__init__)
        1    0.000    0.000    0.001    0.001 poolmanager.py:213(connection_from_host)
        9    0.000    0.000    0.000    0.000 url.py:303(<listcomp>)
        8    0.000    0.000    0.000    0.000 parse.py:190(_hostinfo)
        1    0.000    0.000    0.001    0.001 parser.py:42(parse)
       22    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 SSL.py:1186(set_cipher_list)
        1    0.000    0.000    0.000    0.000 _collections.py:230(extend)
        1    0.000    0.000    0.000    0.000 extensions.py:1202(__init__)
        3    0.000    0.000    0.001    0.000 sre_parse.py:417(_parse_sub)
        1    0.000    0.000    0.000    0.000 socket.py:139(__init__)
       14    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        4    0.000    0.000    0.000    0.000 cookiejar.py:870(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:999(set_ok_domain)
        1    0.000    0.000    0.000    0.000 ssl_.py:386(is_ipaddress)
        1    0.000    0.000    0.000    0.000 _collections.py:140(__init__)
       17    0.000    0.000    0.000    0.000 _collections.py:186(__iter__)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        2    0.000    0.000    0.000    0.000 weakref.py:109(remove)
       23    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 models.py:442(prepare_headers)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1210(vals_sorted_by_key)
        9    0.000    0.000    0.000    0.000 url.py:302(_idna_encode)
